snapshot,timestamp,bad_tickers
2010-06-30,2010-06-04 10:00:00,NOW
2010-07-31,2010-06-04 10:00:00,NOW
2010-11-30,2010-10-01 10:00:00,UAL
2010-12-31,2010-12-09 10:00:00,AIG
2011-01-31,2010-12-09 10:00:00,AIG
2011-04-30,2011-04-28 10:00:00,VRTX
2011-04-30,2011-04-28 10:30:00,VRTX
2011-04-30,2011-04-28 11:00:00,VRTX
2011-04-30,2011-04-28 11:30:00,VRTX
2011-04-30,2011-04-28 12:00:00,VRTX
2011-04-30,2011-04-28 12:30:00,VRTX
2011-04-30,2011-04-28 13:00:00,VRTX
2011-04-30,2011-04-28 13:30:00,VRTX
2011-04-30,2011-04-28 14:00:00,VRTX
2011-04-30,2011-04-28 14:30:00,VRTX
2011-04-30,2011-04-28 15:00:00,VRTX
2011-04-30,2011-04-28 15:30:00,VRTX
2011-04-30,2011-04-28 16:00:00,VRTX
2011-05-31,2011-04-28 10:00:00,VRTX
2011-05-31,2011-04-28 10:30:00,VRTX
2011-05-31,2011-04-28 11:00:00,VRTX
2011-05-31,2011-04-28 11:30:00,VRTX
2011-05-31,2011-04-28 12:00:00,VRTX
2011-05-31,2011-04-28 12:30:00,VRTX
2011-05-31,2011-04-28 13:00:00,VRTX
2011-05-31,2011-04-28 13:30:00,VRTX
2011-05-31,2011-04-28 14:00:00,VRTX
2011-05-31,2011-04-28 14:30:00,VRTX
2011-05-31,2011-04-28 15:00:00,VRTX
2011-05-31,2011-04-28 15:30:00,VRTX
2011-05-31,2011-04-28 16:00:00,VRTX
2011-06-30,2011-06-17 10:00:00,REGN
2011-06-30,2011-06-17 10:30:00,REGN
2011-06-30,2011-06-17 11:00:00,REGN
2011-06-30,2011-06-17 11:30:00,REGN
2011-06-30,2011-06-17 12:00:00,REGN
2011-06-30,2011-06-17 12:30:00,REGN
2011-06-30,2011-06-17 13:00:00,REGN
2011-06-30,2011-06-17 13:30:00,REGN
2011-06-30,2011-06-17 14:00:00,REGN
2011-06-30,2011-06-17 14:30:00,REGN
2011-07-31,2011-06-17 10:00:00,REGN
2011-07-31,2011-06-17 10:30:00,REGN
2011-07-31,2011-06-17 11:00:00,REGN
2011-07-31,2011-06-17 11:30:00,REGN
2011-07-31,2011-06-17 12:00:00,REGN
2011-07-31,2011-06-17 12:30:00,REGN
2011-07-31,2011-06-17 13:00:00,REGN
2011-07-31,2011-06-17 13:30:00,REGN
2011-07-31,2011-06-17 14:00:00,REGN
2011-07-31,2011-06-17 14:30:00,REGN
2011-12-31,2011-11-30 10:00:00,TEL
2012-04-30,2012-04-02 10:00:00,GPN
2012-05-31,2012-04-02 10:00:00,GPN
2012-12-31,2012-12-06 10:00:00,ABMD
2012-12-31,2012-12-06 10:30:00,ABMD
2012-12-31,2012-12-06 11:00:00,ABMD
2012-12-31,2012-12-06 11:30:00,ABMD
2012-12-31,2012-12-06 12:00:00,ABMD
2012-12-31,2012-12-06 12:30:00,ABMD
2012-12-31,2012-12-06 13:00:00,ABMD
2012-12-31,2012-12-06 13:30:00,ABMD
2012-12-31,2012-12-06 14:00:00,ABMD
2012-12-31,2012-12-06 14:30:00,ABMD
2012-12-31,2012-12-06 15:00:00,ABMD
2012-12-31,2012-12-06 15:30:00,ABMD
2012-12-31,2012-12-06 16:00:00,ABMD
2013-01-31,2012-12-06 10:00:00,ABMD
2013-01-31,2012-12-06 10:30:00,ABMD
2013-01-31,2012-12-06 11:00:00,ABMD
2013-01-31,2012-12-06 11:30:00,ABMD
2013-01-31,2012-12-06 12:00:00,ABMD
2013-01-31,2012-12-06 12:30:00,ABMD
2013-01-31,2012-12-06 13:00:00,ABMD
2013-01-31,2012-12-06 13:30:00,ABMD
2013-01-31,2012-12-06 14:00:00,ABMD
2013-01-31,2012-12-06 14:30:00,ABMD
2013-01-31,2012-12-06 15:00:00,ABMD
2013-01-31,2012-12-06 15:30:00,ABMD
2013-01-31,2012-12-06 16:00:00,ABMD
2014-01-31,2014-01-09 10:00:00,TMUS
2014-02-28,2014-01-09 10:00:00,TMUS
2015-05-31,2015-05-12 10:00:00,VRTX
2015-05-31,2015-05-12 10:30:00,VRTX
2015-05-31,2015-05-12 11:00:00,VRTX
2015-05-31,2015-05-12 11:30:00,VRTX
2015-05-31,2015-05-12 12:00:00,VRTX
2015-05-31,2015-05-12 12:30:00,VRTX
2015-05-31,2015-05-12 13:00:00,VRTX
2015-05-31,2015-05-12 13:30:00,VRTX
2015-05-31,2015-05-12 14:00:00,VRTX
2015-05-31,2015-05-12 14:30:00,VRTX
2015-05-31,2015-05-12 15:00:00,VRTX
2015-05-31,2015-05-12 15:30:00,VRTX
2015-05-31,2015-05-12 16:00:00,VRTX
2015-06-30,2015-05-12 10:00:00,VRTX
2015-06-30,2015-05-12 10:30:00,VRTX
2015-06-30,2015-05-12 11:00:00,VRTX
2015-06-30,2015-05-12 11:30:00,VRTX
2015-06-30,2015-05-12 12:00:00,VRTX
2015-06-30,2015-05-12 12:30:00,VRTX
2015-06-30,2015-05-12 13:00:00,VRTX
2015-06-30,2015-05-12 13:30:00,VRTX
2015-06-30,2015-05-12 14:00:00,VRTX
2015-06-30,2015-05-12 14:30:00,VRTX
2015-06-30,2015-05-12 15:00:00,VRTX
2015-06-30,2015-05-12 15:30:00,VRTX
2015-06-30,2015-05-12 16:00:00,VRTX
2015-06-30,2015-06-09 10:00:00,REGN
2015-06-30,2015-06-09 10:30:00,REGN
2015-06-30,2015-06-09 11:00:00,REGN
2015-06-30,2015-06-09 11:30:00,REGN
2015-06-30,2015-06-09 12:00:00,REGN
2015-06-30,2015-06-09 12:30:00,REGN
2015-06-30,2015-06-09 13:00:00,REGN
2015-06-30,2015-06-09 13:30:00,REGN
2015-06-30,2015-06-09 14:00:00,REGN
2015-06-30,2015-06-09 14:30:00,REGN
2015-06-30,2015-06-09 15:00:00,REGN
2015-06-30,2015-06-09 15:30:00,REGN
2015-06-30,2015-06-09 16:00:00,REGN
2015-07-31,2015-06-09 10:00:00,REGN
2015-07-31,2015-06-09 10:30:00,REGN
2015-07-31,2015-06-09 11:00:00,REGN
2015-07-31,2015-06-09 11:30:00,REGN
2015-07-31,2015-06-09 12:00:00,REGN
2015-07-31,2015-06-09 12:30:00,REGN
2015-07-31,2015-06-09 13:00:00,REGN
2015-07-31,2015-06-09 13:30:00,REGN
2015-07-31,2015-06-09 14:00:00,REGN
2015-07-31,2015-06-09 14:30:00,REGN
2015-07-31,2015-06-09 15:00:00,REGN
2015-07-31,2015-06-09 15:30:00,REGN
2015-07-31,2015-06-09 16:00:00,REGN
2017-01-31,2017-01-04 10:00:00,HLT
2017-02-28,2017-01-04 10:00:00,HLT
2019-07-31,2019-07-02 10:00:00,INFO
2019-08-31,2019-07-02 10:00:00,INFO
2020-03-31,2020-03-02 10:00:00,IR
2020-04-30,2020-03-02 10:00:00,IR
2020-04-30,2020-04-01 10:00:00,ARNC
2020-04-30,2020-04-01 10:30:00,ARNC
2020-05-31,2020-04-01 10:00:00,ARNC
2020-05-31,2020-04-01 10:30:00,ARNC
